Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2283.25,,2305.85,,2326.85,2342.55,2346.95,2321.65,2332.8
Netherlands,,,,,,,,,,,,,,,,,,,,,1784,1750,1748.5,1722,1665.5,1610,1599.5,1584.5,1555,1534,1534,1536,1522,1507.5,1498.5,1481,1469.5,1451,1451,1447.5,1442.5,1430,1434.5,1420.5,1426,1451.5,1462.5,1450,1446.5,1443.5
Norway,,,,,,,,,,,,,1995,1986,1996,1951,1952,1936,1897,1849,1835,1813,1780,1766,1745,1728,1674,1638,1602,1580,1580,1570,1559,1553,1548,1542,1538,1511,1513,1511,1503,1500,1510,1507,1505,1488,1483,1478,1476,1473
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834,1838,1829,1820,1771.5,1757,1762.5,1814,1809,1803.5,1799,1796,1798,1813
OCED Average,,,,,,,,,,,,,,,,,,,,,1982.497925,1975.72876,1967.280029,1966.094727,1944.853516,1934.050171,1937.335571,1933.273193,1925.744019,1920.966675,1911.75415,1902.361206,1898.753906,1900.152832,1903.971558,1900.495728,1899.443848,1899.529541,1901.31897,1896.605225,1882.684814,1873.263672,1868.704346,1861.533081,1866.415283,1865.832031,1865.998169,1863.108887,1851.48584,1846.475098
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,2130,2116,2103,2090,2077,2065,2053,2041,2029,2017,2006,1994,1982,1971,1959,1948,1865,1874.5,1881.5,1901.5,1894.5,1841,1775.5,1780,1793,1835.5,1824.5,1816,1824,1835
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926.5,1936.5,1893,1888.5,1891.5,1948,1944,1972.5
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853,1820,1830,1769,1761.5
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755,1727,1715,1728,1730
Sweden,2016,2007,2007,1987,1998,1987,1962,1962,1930,1904,1899,1901,1889,1883,1852,1841,1827,1796,1753,1730,1730,1698,1658,1642,1623,1599,1608,1581,1541,1530,1531,1522,1537,1546,1548,1552,1550,1561,1580,1579,1575,1562,1580,1597,1635,1640,1653,1658,1656,1665
Turkey,,,,,,,,,,,,,,,,,,,,,2086,2077,2069,2060,2044,2028,2012,1996,1980,1964,1957,1950,1943,1935,1871,1898,1883,1844,1837,1867,1866,1870,1897,1917,1886,1876,1892,1878,1884,1925
USA,1960,1975.5,1978,1980,1970.5,1992.5,1990,1962,1936.5,1947,1941.5,1931.5,1949.5,1964,1967,1975.5,1965,1941.5,1929.5,1927.5,1898.5,1886.5,1885.5,1887,1856.5,1837,1838,1842,1835.5,1828.5,1814,1805,1804.5,1823.5,1840.5,1836.5,1827,1832,1836,1849.5,1832,1820,1822,1830.5,1838,1846.5,1836.5,1848,1848,1847
