count,km,year,powerPS,minPrice,maxPrice,avgPrice,sdPrice
435,150000,1996,40,111,5900,621.9425,456.76850336091593
27,5000,1996,60,120,1200,512.3333,305.55995956422186
21,60000,1996,60,150,5900,1243.6667,1222.4487654404925
15,70000,1996,60,150,2000,983.8667,633.2750710043429
31,80000,1996,60,200,17500,1461.9355,2975.3247362532124
44,90000,1996,60,130,4499,886.7273,696.8957585945745
48,100000,1996,60,150,3900,738.5625,589.3543397315545
200,125000,1996,60,130,2500,762.4800,410.1466562097025
1356,150000,1996,60,110,5444,704.6962,542.2790109145934
16,5000,1996,80,150,1400,518.6875,339.9001174518038
14,50000,1996,80,250,2900,1752.7143,701.4728819288973
12,60000,1996,80,400,1600,886.2500,432.0065827044769
15,70000,1996,80,385,2800,1228.1333,601.4070021393351
36,80000,1996,80,250,5900,1237.2778,1025.4266757228188
39,90000,1996,80,150,3650,978.6410,774.0421868573089
43,100000,1996,80,333,3800,1256.0465,738.200513300193
124,125000,1996,80,120,23500,1153.7742,2147.692455752294
1141,150000,1996,80,110,14999,943.5837,996.1304736180186
23,5000,1996,100,150,3499,1063.8696,882.8880132023158
28,90000,1996,100,249,5500,1562.3929,1078.6566161959352
33,100000,1996,100,300,3490,1478.6364,764.8696390485715
94,125000,1996,100,200,4900,1192.5532,861.4678050197576
1553,150000,1996,100,110,26500,1258.4636,1422.3224580334047
16,5000,1996,120,150,2000,999.8125,524.0946024753068
12,60000,1996,120,300,8000,2723.6667,2439.5560502317267
12,70000,1996,120,1999,8699,3633.0000,1888.5032874386707
12,90000,1996,120,888,6000,2555.9167,1421.8049244026256
13,100000,1996,120,300,5900,2348.2308,1833.3295122786074
52,125000,1996,120,200,6990,2049.8077,1910.772015125557
1276,150000,1996,120,120,16800,1480.7006,1427.3565724737236
40,125000,1996,140,500,20000,2579.9500,3194.0476824086395
432,150000,1996,140,140,25000,1829.0880,2247.5090896375164
22,125000,1996,160,550,5100,2158.5909,1175.3527771807262
643,150000,1996,160,190,16900,1896.3577,1666.686130916128
282,150000,1996,180,150,6000,1782.7518,1085.4373152484375
11,125000,1996,200,799,14900,5149.7273,3650.9712553563086
254,150000,1996,200,450,16999,2978.2480,2258.171500372491
64,150000,1996,220,250,22800,3762.7188,4254.602384729792
62,150000,1996,240,650,26600,5717.4516,5089.104603661976
64,150000,1996,280,400,79950,7363.4063,14516.150173727568
22,150000,1996,300,900,53500,5426.8182,10689.224134767956
19,150000,1996,320,2500,16999,8644.1053,4109.667945284462
16,90000,1997,40,250,6500,1130.7500,1434.5531316406514
20,100000,1997,40,150,1250,722.4000,348.38676783138595
56,125000,1997,40,150,4900,710.5714,642.6787371491868
342,150000,1997,40,110,1490,558.8187,289.11681788967036
22,5000,1997,60,150,950,501.6818,221.31228170406146
11,50000,1997,60,200,2300,1061.8182,571.3750270073092
32,70000,1997,60,150,7777,1425.8125,1476.1860578340898
62,80000,1997,60,199,6799,1148.1774,952.2380348284695
60,90000,1997,60,120,2650,835.0667,525.1826306681853
99,100000,1997,60,150,3000,844.7677,478.47220723530296
290,125000,1997,60,108,12500,878.4862,1000.1309818439946
1927,150000,1997,60,110,18000,675.7177,600.9544201210999
26,5000,1997,80,120,2880,795.2692,695.6712617593671
21,60000,1997,80,150,3600,1474.2381,923.3702195534987
24,70000,1997,80,240,6500,1331.6667,1188.2384604484441
19,80000,1997,80,350,3900,1328.7895,804.0605881168913
36,90000,1997,80,200,2300,1037.1667,467.95254389022546
62,100000,1997,80,199,2200,1008.8548,548.7531569980227
173,125000,1997,80,120,3680,935.5202,614.0445709717097
1407,150000,1997,80,125,14850,846.4847,820.9435907050694
32,5000,1997,100,170,3950,987.0000,707.4412519778585
18,80000,1997,100,250,3666,1165.3333,794.8732952839437
36,90000,1997,100,200,4900,1356.5556,910.6329741340618
56,100000,1997,100,220,8500,1776.2500,1912.83770361135
139,125000,1997,100,200,8900,1465.4173,1088.690295585424
2262,150000,1997,100,110,84911,1236.5004,2108.4822057537867
22,5000,1997,120,300,3900,1372.5455,823.6896330355553
20,90000,1997,120,400,9900,2096.5000,2226.5802365960226
32,100000,1997,120,150,7450,1988.7500,1681.167563034691
85,125000,1997,120,150,6950,2079.0353,1587.5794482912274
1730,150000,1997,120,120,13980,1384.2636,1150.1369900327043
13,100000,1997,140,500,6799,2355.2308,1596.533415480416
46,125000,1997,140,150,22900,3660.7609,4672.410764890018
685,150000,1997,140,105,18900,1686.0496,1861.5121097544986
22,125000,1997,160,200,27500,4922.1364,5451.651812194627
862,150000,1997,160,200,16500,1792.5789,1314.2649865661963
412,150000,1997,180,200,23000,2192.0558,2274.023092139253
30,125000,1997,200,700,16999,5854.8333,3192.863438809886
437,150000,1997,200,199,14500,2951.2403,2238.7591282357644
65,150000,1997,220,399,31500,3364.2308,4817.497437687971
74,150000,1997,240,200,31000,4549.3243,4584.857975070819
20,150000,1997,260,1800,13500,6677.0000,3114.570756942279
68,150000,1997,280,550,64900,7162.9265,13743.67709949494
14,150000,1997,300,800,8400,3099.7857,1877.6010978514742
13,150000,1997,320,1500,13800,7761.3846,4505.738367536046
18,100000,1998,40,149,1500,857.5000,336.4349450075337
32,125000,1998,40,180,1650,691.7813,285.3962962241057
180,150000,1998,40,125,1600,588.9000,340.37161227758764
29,5000,1998,60,175,2250,712.1379,417.9323261616548
22,50000,1998,60,150,5350,1339.4545,1065.0040003028896
31,60000,1998,60,120,9950,1400.2903,1644.2669548885926
36,70000,1998,60,375,7777,1711.1389,1619.980438029659
78,80000,1998,60,120,4999,1068.1282,891.5515337935318
85,90000,1998,60,150,15900,1686.7529,3151.0019430086504
120,100000,1998,60,120,11900,1058.2917,1178.6097558552715
366,125000,1998,60,120,8900,885.6448,682.5724362071561
2029,150000,1998,60,110,13000,795.8226,642.7994574491181
31,5000,1998,80,200,2500,911.8710,505.9395438788649
18,20000,1998,80,450,4750,1308.2222,1040.3387565572386
17,60000,1998,80,500,3500,1958.0588,1044.0475237430096
21,70000,1998,80,120,2990,1262.2381,655.6696979687769
30,80000,1998,80,150,5000,1611.0000,1129.7182539612843
46,90000,1998,80,450,5990,1709.4565,1052.2877914029639
77,100000,1998,80,500,11500,1501.0779,1365.5779687492561
203,125000,1998,80,200,15699,1316.0099,1206.5763762095924
1992,150000,1998,80,115,8500,1104.5868,664.8866652280619
29,5000,1998,100,180,3650,1238.7931,741.6236325564543
20,70000,1998,100,200,6500,2500.1500,1344.7242570504927
25,80000,1998,100,200,3975,1987.8400,1108.0418649130545
39,90000,1998,100,111,7777,1620.3846,1589.6036212162535
66,100000,1998,100,169,4950,1620.6364,1066.6886830544672
192,125000,1998,100,180,8500,1674.8906,1061.8573416795573
2857,150000,1998,100,111,16000,1428.1407,1297.9890843476599
21,5000,1998,120,130,9500,1712.7619,1931.2231728390836
27,80000,1998,120,300,7200,2971.7407,1869.0702896358528
29,90000,1998,120,500,17700,4082.1034,4687.531549097159
29,100000,1998,120,300,8900,2308.5172,1657.938055094436
105,125000,1998,120,150,19900,2424.2571,2396.9569637894006
2055,150000,1998,120,120,19500,1564.7363,1360.5659429744908
13,90000,1998,140,700,7530,2538.3077,1724.0409768740499
19,100000,1998,140,300,6800,3529.9474,1929.991286418405
65,125000,1998,140,400,27500,3238.1077,3526.599421639784
886,150000,1998,140,150,15000,1622.0305,1458.0970917151483
32,125000,1998,160,800,7555,3133.0625,1519.22856529021
1093,150000,1998,160,150,8700,1997.0146,1167.7671728386388
21,125000,1998,180,950,6990,3239.4286,2066.518295090943
594,150000,1998,180,175,22900,2166.5673,1940.254096573443
28,125000,1998,200,1800,20700,8127.2500,5043.893412724794
589,150000,1998,200,150,11900,2848.7216,1976.3275207215947
163,150000,1998,220,500,17800,3060.4294,2232.970642259807
74,150000,1998,240,700,15000,4506.9595,2637.1817237919745
42,150000,1998,260,1300,13000,5057.8095,2234.914776665302
78,150000,1998,280,500,14999,4918.7564,3033.601347074419
26,150000,1998,300,400,26000,9180.1154,7921.7214199892915
13,150000,1998,320,2500,33000,10338.1538,8235.94878795818
17,100000,1999,40,500,1750,1121.5882,323.7264747434583
37,125000,1999,40,150,2000,879.4865,512.7855893335885
184,150000,1999,40,120,2200,738.1196,417.53592249496813
33,5000,1999,60,149,1450,670.7273,417.8454312394877
18,20000,1999,60,250,1999,911.8333,535.4607828777006
11,30000,1999,60,300,3200,1427.8182,1020.1619139031374
12,40000,1999,60,500,2990,1940.7500,734.1647323092186
18,50000,1999,60,250,4950,1713.7222,1079.1383808676849
37,60000,1999,60,450,15500,1780.0541,2427.214552437556
59,70000,1999,60,350,2950,1140.9153,587.1861451782919
72,80000,1999,60,150,2350,1146.1528,483.63699253452427
125,90000,1999,60,130,5899,1273.3600,856.3233538798298
140,100000,1999,60,149,2500,1076.1571,515.8042301857857
543,125000,1999,60,135,6500,975.3481,565.3918200305012
2999,150000,1999,60,101,6500,856.6822,478.0925463567355
24,5000,1999,80,200,1600,1004.7917,361.0548179947503
11,20000,1999,80,500,1599,844.1818,297.87606275149165
12,60000,1999,80,500,2990,1727.0833,750.2390128411671
26,70000,1999,80,250,3600,1589.5385,954.51269205283
48,80000,1999,80,300,3690,1876.0000,825.9468556349938
48,90000,1999,80,350,3500,1717.9583,753.6486238718205
74,100000,1999,80,200,3500,1614.6216,641.1447469640008
268,125000,1999,80,200,11500,1400.4851,892.9910726022865
2438,150000,1999,80,110,15000,1213.3962,850.1451927447691
35,5000,1999,100,200,5699,1339.6000,989.8291396570853
12,60000,1999,100,990,5200,2623.1667,1239.24579438015
13,70000,1999,100,499,3999,1860.5385,990.2703294776568
30,80000,1999,100,500,4500,1873.4000,857.4412166440334
29,90000,1999,100,350,4450,2037.8621,1181.7087197005906
56,100000,1999,100,325,5599,2020.1607,1197.049196040976
240,125000,1999,100,180,10999,1834.3542,1305.825592769815
3623,150000,1999,100,125,19200,1526.7215,1364.9648123667707
31,5000,1999,120,250,2777,1447.5806,688.0863962160917
17,70000,1999,120,333,9000,3350.4706,1947.1893807303557
16,80000,1999,120,950,9499,4117.6250,1964.8526940651302
32,90000,1999,120,700,8350,3456.6875,2048.9736369323423
59,100000,1999,120,300,8850,2817.8814,1468.9633158155177
167,125000,1999,120,250,14980,2364.8683,1722.1572620815145
2829,150000,1999,120,125,21500,1658.3316,1254.22009343184
25,100000,1999,140,380,8500,3620.3200,2218.227936349193
61,125000,1999,140,650,8900,2892.9672,1921.2224674453566
1026,150000,1999,140,110,7888,1688.9308,1241.19889775501
17,5000,1999,160,500,6500,2017.5294,1259.780051654539
40,125000,1999,160,555,6950,3258.9000,1476.6617385169834
1340,150000,1999,160,150,15000,2389.3440,1807.2009226776754
11,5000,1999,180,400,7500,2495.2727,2038.7798530631499
37,125000,1999,180,1150,8200,4539.8378,1962.8845639877225
753,150000,1999,180,150,24900,2569.8074,1734.7951496529602
16,100000,1999,200,2500,13900,6340.5625,3640.2848097496094
46,125000,1999,200,500,15500,6556.6522,3125.0433055600543
654,150000,1999,200,230,68530,3400.7294,3394.3092736374824
16,125000,1999,220,3349,13500,7833.5625,3028.756757498652
267,150000,1999,220,325,17900,4256.3745,2740.230812981827
80,150000,1999,240,600,12500,3083.9375,1739.2935875215976
43,150000,1999,260,550,19999,5460.1395,3485.931189739663
108,150000,1999,280,555,12900,4004.3426,2286.2216410246783
93,150000,1999,300,1500,44500,7851.6882,6893.751072456843
21,150000,1999,320,1800,24900,6074.3333,5133.008755972358
12,150000,1999,340,2800,18900,7653.5833,4223.999713114205
17,100000,2000,40,140,2000,1125.8235,666.8920218882
39,125000,2000,40,150,3000,1256.9744,615.0738328488364
151,150000,2000,40,150,2599,923.6887,589.6734777849964
32,5000,2000,60,150,3495,840.3438,630.8121555470674
27,20000,2000,60,150,3999,1046.4444,942.615837594484
14,30000,2000,60,300,2300,1146.2857,578.6257646443028
12,40000,2000,60,250,13950,3970.0000,4982.007627453013
28,50000,2000,60,200,3900,1583.9286,749.0164946005351
41,60000,2000,60,250,13800,2437.1463,2953.2451482078905
54,70000,2000,60,180,3100,1406.5556,757.5721128531853
109,80000,2000,60,120,4500,1386.6514,755.36014104637
105,90000,2000,60,115,11350,1345.9048,1155.199100743364
183,100000,2000,60,120,3500,1276.7978,668.8979335143016
663,125000,2000,60,125,7990,1183.7134,678.2070582069323
2759,150000,2000,60,120,7750,966.2080,557.2072671763974
25,5000,2000,80,120,2200,906.7200,642.045887456652
11,20000,2000,80,550,2500,1251.2727,626.1649638741144
12,60000,2000,80,799,3100,2064.9167,697.9154029839306
33,70000,2000,80,200,5000,2227.6667,1191.1462181996437
32,80000,2000,80,350,4399,1934.0000,962.4126583747743
61,90000,2000,80,200,5800,1754.4918,972.9244848453051
61,100000,2000,80,199,4999,1750.1311,1033.8424504287484
249,125000,2000,80,180,6200,1599.9277,836.843454095106
2005,150000,2000,80,120,6900,1292.1217,808.4988535320942
42,5000,2000,100,111,3800,1252.1667,912.8553819815593
12,20000,2000,100,520,6500,1926.5000,1532.27975578874
11,50000,2000,100,200,3890,2658.1818,1116.1770646583907
14,60000,2000,100,600,3950,2817.8571,927.75596061086
23,70000,2000,100,1000,4490,2803.7826,1086.0333470947799
17,80000,2000,100,550,6990,2775.7647,1518.6006921780777
41,90000,2000,100,250,5999,2409.1951,1208.9378369605038
46,100000,2000,100,150,6000,1892.3261,1110.5117710620166
212,125000,2000,100,150,8250,2031.7830,1157.9104635499384
3228,150000,2000,100,140,17750,1683.5561,1396.3983208239456
31,5000,2000,120,150,3800,1927.0323,1109.1052622859495
16,20000,2000,120,500,4500,2034.3750,1101.9469630499464
21,70000,2000,120,600,10900,4128.8095,2618.36076707851
19,80000,2000,120,800,7500,3523.4211,1670.803189007877
32,90000,2000,120,200,7900,2767.2188,1671.168392442377
35,100000,2000,120,500,8450,2942.8000,1818.5825532147674
161,125000,2000,120,250,10000,2693.8944,1653.7053392606506
2429,150000,2000,120,120,17000,1934.7629,1339.5212676921597
16,5000,2000,140,150,2800,1446.7500,768.9393262800389
13,80000,2000,140,1200,6999,4186.8462,1979.4686873056794
13,90000,2000,140,500,7300,3163.8462,2091.64469133572
25,100000,2000,140,499,7400,3213.0800,1892.976765203419
87,125000,2000,140,450,8300,2633.9310,1796.294543552861
1221,150000,2000,140,130,10999,1865.2867,1217.6855705763473
25,5000,2000,160,150,6500,1760.6400,1444.575145293591
14,90000,2000,160,1685,9500,6116.7143,1940.5046261428063
12,100000,2000,160,500,16900,7932.4167,5296.998292403181
76,125000,2000,160,350,9000,4189.9342,2031.6471301535655
1279,150000,2000,160,150,16500,2767.5262,2138.905972840075
36,125000,2000,180,500,12000,4847.7500,2605.4611382739054
908,150000,2000,180,220,15900,3102.7423,1840.74524259154
25,125000,2000,200,400,11800,4889.5600,2876.1201376854897
647,150000,2000,200,150,19000,3565.5209,2047.7688833184643
13,100000,2000,220,3500,13900,7691.3846,2966.9452961813345
26,125000,2000,220,4300,13500,8277.1154,2622.5273237107494
248,150000,2000,220,200,33250,5059.2540,3985.5221067876937
171,150000,2000,240,400,18500,4464.8889,2583.3862664513426
56,150000,2000,260,1300,15450,5537.2679,2894.4062090958396
118,150000,2000,280,444,12850,5648.1610,3013.49729527833
93,150000,2000,300,200,30000,8102.3441,6468.262182885836
21,150000,2000,320,2200,16000,5954.1905,3499.568226687777
27,150000,2000,340,2500,21911,8095.7407,4393.389972595553
27,150000,2000,360,4500,53000,9913.1852,9074.288393840881
11,150000,2000,400,3000,19500,11531.4545,5084.035804960043
44,125000,2001,40,450,2500,1371.1136,495.0159876164281
176,150000,2001,40,150,3400,1298.6989,652.3309735783041
30,5000,2001,60,150,5200,1232.4333,985.3775818887342
18,50000,2001,60,299,2999,1733.8889,725.831239100606
33,60000,2001,60,500,4499,1985.2424,916.6427555108297
63,70000,2001,60,250,7890,2100.8571,1148.453547611051
75,80000,2001,60,130,4400,1473.9333,828.977013486435
109,90000,2001,60,275,3950,1542.0917,674.5632979634654
149,100000,2001,60,200,3600,1399.4094,708.2448104925074
521,125000,2001,60,150,5490,1365.0230,667.7365148112689
2394,150000,2001,60,111,8800,1158.6366,625.9675504368506
18,5000,2001,80,299,3499,1441.3333,929.8432962362828
14,30000,2001,80,500,5680,2717.7143,1318.7198569918062
12,50000,2001,80,1050,4900,2732.8333,1102.4317691156925
34,70000,2001,80,750,4250,2265.1471,802.2450898921447
46,80000,2001,80,200,3950,2141.3478,955.9158644392187
64,90000,2001,80,199,4990,2379.5000,880.4886604891627
101,100000,2001,80,250,5990,1934.6931,909.2732245495073
314,125000,2001,80,150,5900,1838.3312,880.4420096394907
1911,150000,2001,80,150,17500,1517.5285,963.372269622392
15,5000,2001,100,300,10999,2103.8000,2567.278538322894
11,30000,2001,100,650,5100,2186.3636,1574.3816836937647
14,60000,2001,100,1650,4700,3352.8571,1081.780467373966
26,70000,2001,100,1000,6200,3272.6538,1252.2173853518864
36,80000,2001,100,900,6250,2928.7500,1465.3862663892487
35,90000,2001,100,750,4799,2481.4286,956.2444184177507
81,100000,2001,100,800,9900,2814.5309,1826.669404474968
263,125000,2001,100,250,7000,2182.4144,1020.8558733552253
2369,150000,2001,100,150,23800,1997.4740,1687.1704904004534
28,5000,2001,120,200,3990,1796.0357,1000.0980838377395
11,30000,2001,120,500,15999,3812.5455,4315.132703397879
24,70000,2001,120,1300,7500,3846.3333,1625.3243949713203
21,80000,2001,120,300,16900,3811.6667,3338.9894869033046
31,90000,2001,120,499,8999,3135.0323,1815.9584598750257
41,100000,2001,120,600,7900,3074.7073,1684.9280109671101
175,125000,2001,120,350,9750,3041.3486,1584.1485603803394
2270,150000,2001,120,130,99999,2319.4819,2439.7485463665253
11,60000,2001,140,1650,6200,4604.4545,1529.5419019275237
12,80000,2001,140,900,6620,3962.5000,1622.3754446284415
21,90000,2001,140,600,7900,3883.0952,1766.0893550376563
21,100000,2001,140,490,7000,3129.0000,1668.253149683396
121,125000,2001,140,500,12990,3168.9835,1863.141508506139
1744,150000,2001,140,180,28800,2472.6130,1408.9677201952695
23,100000,2001,160,2590,8500,4996.4783,1798.1091002728206
104,125000,2001,160,1000,20750,4834.8654,2197.604097725574
1090,150000,2001,160,150,23490,3336.6477,2380.637569894248
13,5000,2001,180,1199,8500,3887.8462,2484.6082757697777
14,100000,2001,180,999,11500,7522.7857,3169.1428804865795
39,125000,2001,180,850,11000,5353.3077,2406.33946018286
1011,150000,2001,180,300,11699,3454.6241,1700.9808246267473
13,90000,2001,200,3300,12950,8573.0000,2855.1602945705704
17,100000,2001,200,700,10000,6604.2941,2716.2616343857576
38,125000,2001,200,900,10499,5695.6316,2232.222157179426
746,150000,2001,200,180,18000,3885.4973,2065.5499746348414
24,125000,2001,220,750,14999,9011.2083,4182.328438194513
206,150000,2001,220,500,27500,4805.2864,2994.6204324547457
12,125000,2001,240,1500,13900,8322.7500,3382.139562589535
300,150000,2001,240,1450,19500,6066.8967,2853.749177133283
15,125000,2001,260,6800,37000,15659.9333,6681.484470451824
57,150000,2001,260,599,27490,6723.0000,5391.690894492598
93,150000,2001,280,1000,22500,6153.5699,3373.355689918637
12,100000,2001,300,6500,25500,18987.2500,4938.867551119386
